index	prediction
0	2.700998280042861
1	2.700998280042861
2	2.700998280042861
3	2.700998280042861
4	2.700998280042861
5	2.700998280042861
6	2.700998280042861
7	2.700998280042861
8	2.700998280042861
9	2.700998280042861
10	2.700998280042861
11	2.700998280042861
12	2.700998280042861
13	2.700998280042861
14	2.700998280042861
15	2.700998280042861
16	2.700998280042861
17	2.700998280042861
18	2.700998280042861
19	2.700998280042861
20	2.700998280042861
21	2.700998280042861
22	2.700998280042861
23	2.700998280042861
24	2.700998280042861
25	2.700998280042861
26	2.700998280042861
27	2.700998280042861
28	2.700998280042861
29	2.700998280042861
30	2.700998280042861
31	2.700998280042861
32	2.700998280042861
33	2.700998280042861
34	2.700998280042861
35	2.700998280042861
36	2.700998280042861
37	2.700998280042861
38	2.700998280042861
39	2.700998280042861
40	2.700998280042861
41	2.700998280042861
42	2.700998280042861
43	2.700998280042861
44	2.700998280042861
45	2.700998280042861
46	2.700998280042861
47	2.700998280042861
48	2.700998280042861
49	2.700998280042861
50	2.700998280042861
51	2.700998280042861
52	2.700998280042861
53	2.700998280042861
54	2.700998280042861
55	2.700998280042861
56	2.700998280042861
57	2.700998280042861
58	2.700998280042861
59	2.700998280042861
60	2.700998280042861
61	2.700998280042861
62	2.700998280042861
63	2.700998280042861
64	2.700998280042861
65	2.700998280042861
66	2.700998280042861
67	2.700998280042861
68	2.700998280042861
69	2.700998280042861
70	2.700998280042861
71	2.700998280042861
72	2.700998280042861
73	2.700998280042861
74	2.700998280042861
75	2.700998280042861
76	2.700998280042861
77	2.700998280042861
78	2.700998280042861
79	2.700998280042861
80	2.700998280042861
81	2.700998280042861
82	2.700998280042861
83	2.700998280042861
84	2.700998280042861
85	2.700998280042861
86	2.700998280042861
87	2.700998280042861
88	2.700998280042861
89	2.700998280042861
90	2.700998280042861
91	2.700998280042861
92	2.700998280042861
93	2.700998280042861
94	2.700998280042861
95	2.700998280042861
96	2.700998280042861
97	2.700998280042861
98	2.700998280042861
99	2.700998280042861
100	2.700998280042861
101	2.700998280042861
102	2.700998280042861
103	2.700998280042861
104	2.700998280042861
105	2.700998280042861
106	2.700998280042861
107	2.700998280042861
108	2.700998280042861
109	2.700998280042861
